Ciudad 1,Costo ciudad 1,Coordenada X Ciudad 1,Coordenada Y Ciudad 1,Ciudad 2,Costo ciudad 2,Coordenada X Ciudad 2,Coordenada Y Ciudad 2,Costo del enlace
Matamoros,80,4206,5555,Brownsville,83,4206,5550,20
Nogales,121,1912,4380,Nogales AZ,129,1912,4377,20
San Diego,98,919,3981,Tijuana,110,919,4000,20
El Paso,136,2668,4318,Ju rez,94,2668,4320,50
Laredo TX,78,3850,5231,Nuevo Laredo,100,3851,5222,70
Yuma,116,1333,4032,Mexicalli,90,1325,4040,15
Everett,64,738,656,Seattle,64,682,768,28
Dallas,96,4276,4124,Ft. Worth,53,4122,4122,30
Williams,105,1706,3591,Flagstaff,59,1865,3591,32
Baltimore,105,7297,2242,Washington,125,7212,2363,35
Springdale,106,1696,3182,St. George,142,1599,3168,43
Bangor,123,7967,835,HullsCove,144,8091,890,46
Cisco,85,3849,4194,Brownwood,113,3843,4316,48
Grand Island,60,3777,2421,Kearney,101,3633,2510,51
Orlando,82,6953,4571,Cocoa,135,7106,4624,51
Salt Lake City,139,1940,2428,Spanish Fork,98,1931,2643,51
Daytona Beach,119,7018,4481,Orlando,82,6953,4571,56
Sault Ste. Marie,123,5829,1077,Mackinaw,146,5806,1227,56
Omaha,106,4298,2366,Lincoln,98,4175,2476,58
Santa Fe,138,2783,3552,Albuquerque,105,2666,3670,58
Grand Canyon,112,1802,3407,Williams,105,1706,3591,59
Livingston,143,2181,1568,Mammoth Hot Springs,86,2180,1566,59
Acapulco,100,1139,1150,Chilpancingo,140,1163,1119,61
Philadelphia,141,7410,2084,Atlantic City,60,7545,2177,61
Detroit,114,6166,1872,Toledo,146,6129,2021,62
Estes Park,134,2873,2583,Denver,125,2965,2706,63
St. Joseph,140,4489,2669,Kansas City,61,4550,2806,64
Tucson,88,1924,4189,Nogales AZ,129,1912,4377,64
Cocoa,135,7106,4624,Vero Beach,147,7187,4759,65
Helena,149,2037,1196,Butte,71,1955,1317,65
Marquette,114,5402,1129,Escanaba,123,5458,1279,65
Acayucan,110,1433,1089,Tehuantepec,80,1420,1170,66
Cocoa,135,7106,4624,Daytona Beach,119,7018,4481,66
Hays,69,3762,2836,Great Bend,61,3907,2987,66
M‚xico,132,4057,7037,Toluca,110,3964,7062,66
Columbia,148,6811,3497,Augusta,115,6679,3639,68
Florence,122,7029,3415,Mayrtle Beach,134,7150,3510,68
Wilmington,146,7307,3333,Mayrtle Beach,134,7150,3510,69
Acayucan,110,1433,1089,Villa Hermosa,90,1582,1053,70
C¢rdoba,91,4518,7139,Veracruz,90,4576,7072,70
Dubuque,55,5037,2025,Davenport,72,5100,2204,70
Port Angeles,89,523,614,Seattle,64,682,768,70
Peoria,142,5251,2375,Springfield IL,94,5267,2566,71
Texarkana,134,4714,3940,Shreveport,109,4778,4127,71
Watertown NY,77,7097,1321,Syracuse,134,7112,1509,72
Jacksoville,126,6858,4266,Gainesville,74,6769,4480,73
Boston,98,7845,1429,Newport,129,7892,1592,74
Concord,58,7694,1286,Boston,98,7845,1429,74
Agua Prieta,110,515,157,Santa Ana,60,404,192,76
Cleveland,73,6409,2005,Youngstown,51,6557,2081,76
M‚xico,132,4057,7037,Cuernavaca,100,4060,7168,76
Toledo,146,6129,2021,Youngstown,51,6557,2081,76
Milwaukee,112,5434,1856,Madison,59,5226,1880,77
Roswell,118,3000,4011,Carlsbad,94,3119,4234,77
Albuquerque,105,2666,3670,Socorro,100,2609,3873,78
Grand Forks,122,4081,1003,Fargo,56,4106,1214,78
Raleigh,69,7126,3047,Greensboro,120,6900,3059,78
Florence,122,7029,3415,Columbia,148,6811,3497,79
Louisville,105,5924,2780,Lexington,84,6123,2784,79
Aguascalientes,100,946,826,Guadalajara,70,886,909,80
Baton Rouge,109,5251,4545,New Orleans,126,5444,4615,80
Ciudad Obreg¢n,106,2038,5174,Guaymas,80,1902,5059,80
Port Angeles,89,523,614,Everett,64,738,656,80
Youngstown,51,6557,2081,Pittsburgh,115,6701,2161,80
Cairo,66,5433,3109,Poplar Bluff,136,5248,3196,81
Grand Canyon,112,1802,3407,Flagstaff,59,1865,3591,81
Salina UT,125,4059,2830,Great Bend,61,3907,2987,81
Cincinnati,52,6077,2557,Lexington,84,6123,2784,82
Austin,129,4138,4658,San Antonio,109,4012,4842,83
Lubbock,113,3439,4012,Snyder,129,3586,4154,84
Orlando,82,6953,4571,Tampa,126,6823,4768,84
Tucumcari,67,3135,3662,Clovis,103,3226,3817,84
Great Bend,61,3907,2987,Dodge City,56,3716,3125,85
Odessa,126,3338,4309,Ft. Stockton,135,3273,4532,85
Park City,112,5866,3061,Nashville,137,5837,3228,85
Sioux Falls,143,4165,1889,Sioux City,82,4227,2117,85
Aguascalientes,100,946,826,Guanajuato,80,1023,900,86
Alvarado,80,1386,1042,Acayucan,110,1433,1089,87
Eau Claire,101,4875,1552,La Crosse,130,4942,1762,87
Harrisburg,101,7159,2083,Baltimore,105,7297,2242,87
Salamanca,90,3625,6883,Quer‚taro,64,3868,6765,87
Cheyenne,112,3003,2422,Estes Park,134,2873,2583,88
Columbus,137,5631,3853,Meridian,126,5611,4094,88
Dakley,142,3524,2840,Hays,69,3762,2836,88
M‚xico,132,4057,7037,Pachuca,100,4100,6810,88
Alvarado,80,1386,1042,Oaxaca,100,1316,1142,90
Jacksoville,126,6858,4266,Daytona Beach,119,7018,4481,90
Tehuac n,53,4376,7283,Puebla,90,4242,7152,90
Tifton,92,6505,4099,Tallahassee,57,6415,4323,90
Charlotte,144,6861,3274,Columbia,148,6811,3497,91
Helena,149,2037,1196,Great Falls,141,2163,1026,91
Houlton,70,7994,536,Calais,74,8147,694,91
Louisville,105,5924,2780,Park City,112,5866,3061,91
Sacramento,58,425,2653,San Francisco,98,249,2779,91
Birmigham,131,5888,3809,Montgomery,91,6013,4028,92
Milwaukee,112,5434,1856,Chicago,56,5512,2095,92
Yosemite Natïl Park,146,730,2902,Fresno,143,612,3086,92
Kansas City,61,4550,2806,Ft. Scott,69,4545,3064,93
Memphis,60,5337,3549,Corinth,57,5582,3550,93
Meridian,126,5611,4094,Jackson,98,5366,4133,93
Richmond,52,7221,2646,Norfolk,66,7429,2742,93
V¡ctoria,145,4270,4956,Corpus Christi,109,4193,5160,93
Madison,59,5226,1880,Dubuque,55,5037,2025,94
Hays,69,3762,2836,Salina KS,131,4059,2830,95
Santa Fe,138,2783,3552,Vaughn,61,2891,3775,95
Vaughn,61,2891,3775,Roswell,118,3000,4011,95
Davenport,72,5100,2204,Peoria,142,5251,2375,96
Portland,141,7860,1131,Concord,58,7694,1286,96
